Flat Screen TV
Rear Projection TV
Front Projection TV
Laserdisk
Digital Satellite
DVD
Betamax
HDTV
Analog Satellite
VHS
Surround Sound
Video-capable Automobile
Console Game System(e.g. XBOX PS2 etc)
PVR(Tivo UltimateTV ReplayTV)
